Gender Age Height(cm) Weight(kg)
Male 21 163 60 
Female 20 153 42 
Male 22 164 56 
Female 20 156 44 
Male 21 165 60 
Female 21 156 38 
Male 23 168 55 
Female 21 157 48 
Male 21 169 60 
Female 21 158 52 
Male 21 170 54 
Female 23 158 45 
Male 23 170 80 
Female 22 159 43 
Male 23 170 64 
Female 22 160 50 
Male 22 171 67 
Female 21 160 45 
Male 22 172 65 
Female 21 160 52 
Male 23 172 60 
Female 23 160 50 
Male 21 172 60 
Female 22 161 50 
Male 23 173 60 
Female 21 161 45 
Male 22 173 62 
Female 21 162 55 
Male 21 174 65 
Female 20 162 60 
Male 22 175 70 
Female 20 163 56 
Male 22 175 70 
Female 20 163 56 
Male 22 175 65 
Female 21 163 59 
Male 23 175 60 
Female 22 164 55 
Male 21 175 62 
Female 23 164 47 
Male 21 176 58 
Female 21 165 45 
Male 21 178 70 
Female 21 165 45 
Male 23 178 75 
Female 20 165 60 
Male 23 180 63 
Female 20 168 58 
Male 23 180 71 
Female 21 168 49 
Male 23 183 75 
Female 22 170 54
